,genres,track_id
107,"c-pop, cantopop, mandopop",9207b4120d8731ebd2c84203b6f96560
108,"children's music, preschool children's music",b5de53a86b30de779185edb1a7c2e298
109,"children's music, nursery",5758909ef03fc3a2efaa57408ad43f22
110,"children's music, nursery",5bd82a8d91ecae1759f7173af82306fc
111,gen z singer-songwriter,c8ddbe609ac1677454b9889f763e1598
112,cartoon,a6e7de1836bebd7937ebf25395979ee9
113,,b1909f56a1e0cb3832a2639ef11b306b
114,,ace70c1520dceed40465e2df7664a6b8
115,children's music,074f7ddb21199088e9981cd418addb59
116,children's music,a5682229cea1637beb651afcf3345d34
117,"children's music, nursery",6e2c1c844b6551b77d894b1d5fc79113
118,australian children's music,f6b6e07e73e2084b3106e9ffe3d99f55
119,"children's music, nursery, preschool children's music",3d02f9fcad37e6bb227682761039498c
120,cartoon,b2be5928e28e664d16bbfaae919f10dc
121,,16a70c7ae786dfd972dfe410358de90c
122,"meme rap, sad rap",4ec07b731bb57fc74ddfaa15bc3f1a1c
123,"children's music, nursery, preschool children's music",3a6c645109f858ab088cc7736f1cf380
124,children's music,56b260c23999072ab7ef4ad52877a8fa
125,"deep adult standards, doo-wop, rock-and-roll",71737c6ec6f820df6a171946ec2d1b6e
126,,e5c7a419f9a6762bc27a4c8101eec66a
127,"neon pop punk, pop punk, pop rock, texas pop punk",b85285be2a82b81b8a47b198e1ff61ea
128,,167946b3a32a3e2cbd92e4c76df71528
129,modern country pop,23e3b5ddf1c73335d2529514632f9531
130,"pop, pop r&b",8e817421b6911be7f02916116ae44f6e
131,"children's music, nursery",f60a7823385fa7ed669c561c122de77c
132,children's music,75e80907860754fc95ebe581374827ab
133,,ec561019689c5a4252cbd5e792dcab5a
134,"children's music, nursery",f43ebe8a453c4a66da789b5f5cc978e2
135,,880bd603c77692c0b8932a2c82aaea57
136,children's music,00b5d38d555e94cb373d4709067f60df
137,"children's music, nursery",621774e6fe84a94ce1c8ac151921cdbb
138,,60368b13c03115784bfdb9ed195628f7
139,children's music,543358560ba9a49082f159599e5f0ff0
140,"house, pop dance",17219f6ae6c709b89a44c397a042dafb
141,cartoon,0b3d17891a11f8d8b3e843313e77aa5a
142,children's music,ab0036316f7a5bcf9679ef8b66188d22
143,,129beae3248f0f26491a6445d6bad9c8
144,children's music,083f79465b0d2bf117f4b99e11b97f8b
145,,24d2237d0616038c411bf31265e0ff14
146,,d25d59ceb8ef93748816c270e78f6fa9
147,cartoon,9e3fc01c1b060ebdefccd90dd62c803f
148,,82464fefc71795aabea05a3573436e6e
149,children's music,5a80ee4ce91088ca9fd960cd56d38b91
